duration_minutes,dest_start_candidate,rejection_reason
120,2009-06-21 19:51:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-21 20:11:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-21 21:09:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-21 21:49:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-21 22:01:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-21 22:37:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-21 23:16:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 00:15:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 01:10:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 02:36:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 03:08:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 04:42:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 05:07:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 05:30:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 05:46:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 09:37:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 10:05:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 12:16:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 12:44:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 13:26:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 14:56:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 17:25:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 18:54:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 21:19:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 21:37:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
