metodo,n_episodios,n_detectados,induced_DR_pct,induced_DR_ci95_low,induced_DR_ci95_high,energy_weighted_dr_pct,timely_energy_detection_rate_pct,retraso_mediano_min,retraso_p75_min,retraso_p90_min,pct_detectado_durante_ataque,hidden_energy_before_detection_total_kwh,pct_recuperable_medio
P,519,54,10.404624277456648,8.062330064512672,13.32875454323065,23.020615220510596,6.009838902452705,709.0,1213.75,1413.5000000000002,61.111111111111114,834.2102265726156,1.7444980239767394
H,519,65,12.524084778420038,9.948963492627005,15.649897608132488,26.577825034949694,9.718879157519629,652.0,1025.0,1327.0,98.46153846153847,801.2906180155551,4.412423443546762
OR,519,93,17.91907514450867,14.859022823442622,21.450542077721675,35.04134125567003,12.473449756954146,624.0,987.0,1312.8,81.72043010752688,776.8424104900921,5.251334606684464
AND,519,11,2.1194605009633913,1.1875159916510953,3.754987779756276,5.085198259584477,0.9039118022311321,1242.0,1413.0,1419.0,100.0,879.5279125240046,0.3866822458332861
