n_eventos,n_dias,eventos_dia,pct_tiempo_en_alarma,duracion_media_min,duracion_mediana_min,duracion_p95_min,tiempo_medio_entre_eventos_min,ic95_poisson_low,ic95_poisson_high,periodo,razon_eval_dev,metodo
16,182.5,0.08767123287671233,0.8904109589041096,146.25,60.0,375.0,14540.0,0.050111684677487806,0.1423725895756764,evaluacion,2.5643835616438353,P
4,182.5,0.021917808219178082,0.0228310502283105,15.0,15.0,15.0,18470.0,0.005971865060966163,0.05611829411180106,evaluacion,0.34968866749688665,H
20,182.5,0.1095890410958904,0.91324200913242,120.0,60.0,363.00000000000006,12161.052631578947,0.06693983334467915,0.16925138576808,evaluacion,1.1313456889605158,OR
0,182.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.02021303810473389,evaluacion,,AND
