metodo,n_episodios,n_detectados,induced_DR_pct,induced_DR_ci95_low,induced_DR_ci95_high,energy_weighted_dr_pct,timely_energy_detection_rate_pct,retraso_mediano_min,retraso_p75_min,retraso_p90_min,pct_detectado_durante_ataque,hidden_energy_before_detection_total_kwh,pct_recuperable_medio
Persistencia,519,1,0.1926782273603083,0.0340205392696565,1.0832318748502852,0.10342327863669792,0.0,130.0,130.0,130.0,0.0,887.550587030949,0.0
PerfilHistorico,519,65,12.524084778420038,9.948963492627005,15.649897608132488,25.564346744546732,12.26740242782099,622.0,919.0,1334.0,89.23076923076924,778.6711847693749,5.336704273877035
M60_BASE,519,10,1.9267822736030829,1.0498925591196575,3.510086076558971,4.0674549472542045,1.5005735724291185,339.0,790.25,1306.8999999999999,80.0,874.2322374800232,0.4139510217102371
M60_CAL,519,8,1.5414258188824663,0.7830881952653223,3.01184016895582,2.9333070135356385,1.1966550007392356,289.0,652.75,1025.5,75.0,876.9296685471527,0.2678362718655649
