metodo,n_total,n_detectados,pct_detectado,energia_total_kwh,energia_cubierta_kwh,retraso_mediano_min
Persistencia,90,0,0.0,440.85913709375,0.0,
PerfilHistorico,90,17,18.88888888888889,440.85913709375,101.36691318981481,820.0
M60_BASE,90,2,2.2222222222222223,440.85913709375,20.20180165046296,1077.0
M60_CAL,90,1,1.1111111111111112,440.85913709375,12.651047969907406,859.0
