configuracion,fa_ponderada,peor_fa_fold,active_fraction_ponderada,peor_active_fraction,duracion_maxima_h,peor_max_7dias,folds_saturados,dr_ramp_pct,dr_energ_pct,timely_energy_dr_pct,alto_impacto,dr_30_120_pct,dr_720_1440_pct,dr_const_pct,dr_energ_const_pct,grupo_b,retraso_mediano_min,detecciones_exclusivas,retencion_p_pct,retencion_h_pct,folds_con_mejora_dr,folds_con_mejora_energ,admisible_global
P_MULTI_SEASON_ONLY,0.027777777777777776,0.1111111111111111,0.0020833333333333333,0.008333333333333333,4.0,0.02976190476190476,0,10.714285714285714,14.770465634599606,4.533967108861483,5/100,2.3148148148148144,26.388888888888886,0.0,0.0,0/582,772.5,33,,,,,True
H_MULTIWINDOW_180_ONLY,0.022222222222222223,0.044444444444444446,0.0002314814814814815,0.000462962962962963,0.25,0.002976190476190476,0,9.325396825396826,13.960301167605794,3.425098440919875,8/100,3.7037037037037037,17.36111111111111,34.77891156462585,55.19317553823626,36/582,438.25,26,,,,,True
OR_PMULTI_HMULTIWINDOW,0.05,0.13333333333333333,0.002314814814814815,0.008564814814814815,4.0,0.02976190476190476,0,15.873015873015873,21.485740759420693,6.784978682296757,11/100,5.092592592592592,34.02777777777778,34.77891156462585,55.19317553823626,36/582,576.25,0,100.0,100.0,4.0,4.0,True
