paired_destination_id,daily_detected_induced_OR,weekly_detected_induced_OR,diff_max_delta_score_H,diff_delay_minutes,diff_hidden_energy_kwh
D120_000,False,False,0.049501143683040705,,0.7063999999999999
D120_001,False,False,0.006359388849755801,,0.08756666666666668
D120_002,False,False,-0.17100097314282872,,-1.369133333333334
D120_003,False,False,0.1727504410542403,,-1.0714333333333337
D120_004,False,False,0.10573296361293039,,-0.7011000000000001
D120_005,False,False,0.8748159580291585,,5.098566666666667
D120_006,False,False,0.15061248794016557,,0.4855999999999999
D120_007,False,False,-0.03305069250062287,,-0.05379999999999979
D120_008,False,False,0.480254008822392,,0.6483999999999998
D120_009,False,False,-0.17243322438360142,,-0.7658333333333335
D1440_000,False,False,-0.0021466148292155207,,-0.6859666666666655
D1440_001,False,False,0.21331144709086425,,-3.4949333333333286
D1440_002,False,True,-0.2585104434372967,,-6.744566666666666
D1440_003,False,False,0.242807879155863,,1.395300000000006
D1440_004,False,False,-0.027373412142670972,,0.5923333333333396
D1440_005,False,False,0.05697991253139256,,3.4804666666666684
D1440_006,False,False,-0.034576546389108564,,-2.620399999999993
D1440_007,False,False,0.040810197055064834,,3.3543
D1440_008,False,False,-0.24194745501693438,,-9.806433333333327
D1440_009,False,False,-0.05915627949063307,,-7.801333333333332
D360_000,False,False,-0.10511258770423881,,-1.6252
D360_001,False,False,0.1748378495673194,,1.2478666666666656
D360_002,False,False,-0.008127867797619093,,-0.4570333333333325
D360_003,False,False,-0.18657488037208803,,0.6640333333333335
D360_004,False,False,0.12701070245854906,,3.2828666666666666
D360_005,False,False,0.4882077433156121,,4.175633333333334
D360_006,False,False,-0.11308972146450635,,-1.6223333333333338
D360_007,False,False,-0.23921257202597235,,-4.236233333333333
D360_008,False,False,-0.06423603471055661,,-0.1092333333333333
D360_009,False,False,-0.05828586708981642,,-4.794300000000002
