metodo,standard_n,standard_n_detected,standard_dr_pct,standard_dr_ci95_low,standard_dr_ci95_high,induced_n,induced_n_detected,induced_dr_pct,induced_dr_ci95_low,induced_dr_ci95_high,interior_n,interior_n_detected,interior_dr_pct,interior_dr_ci95_low,interior_dr_ci95_high,pct_boundary_only,pct_post_only,retraso_mediano_min,retraso_p90_min
P,60,1,1.6666666666666667,0.29481597947862487,8.855129727590063,60,0,0.0,0.0,6.017185214208986,60,0,0.0,0.0,6.017185214208986,0.0,0.0,,
H,60,1,1.6666666666666667,0.29481597947862487,8.855129727590063,60,1,1.6666666666666667,0.29481597947862487,8.855129727590063,60,0,0.0,0.0,6.017185214208986,1.6666666666666667,0.0,1401.0,1401.0
OR,60,2,3.3333333333333335,0.9189319256197875,11.363774274308598,60,1,1.6666666666666667,0.29481597947862487,8.855129727590063,60,0,0.0,0.0,6.017185214208986,1.6666666666666667,0.0,1401.0,1401.0
