episode_id,paired_destination_id,shift_type,shift_minutes,duration_minutes,destination_start,destination_end,source_start,source_end,quarter,daypart,is_weekend,fold,split,seed,source_valid,destination_valid,p_context_valid,h_context_valid,post_context_valid,selected,rejection_reason,manifest_version,manifest_hash,detected_standard_P,detected_standard_H,detected_standard_OR,detected_onset_zone_P,detected_interior_P,detected_end_zone_P,detected_post_attack_P,detected_induced_P,preexisting_alert_P,detected_onset_zone_H,detected_interior_H,detected_end_zone_H,detected_post_attack_H,detected_induced_H,preexisting_alert_H,detected_onset_zone_OR,detected_interior_OR,detected_end_zone_OR,detected_post_attack_OR,detected_induced_OR,preexisting_alert_OR,first_detection_timestamp,first_detection_zone,delay_minutes,boundary_only_detection_P,post_only_detection_P,boundary_only_detection_H,post_only_detection_H,boundary_only_detection_OR,post_only_detection_OR,detected_by_P,detected_by_H,detected_by_OR,P_only,H_only,both,max_score_H_clean,max_score_H_attack,max_delta_score_H,boundary_width_minutes,preexisting_alert,clean_energy_kwh,replay_energy_kwh,hidden_energy_kwh,hidden_energy_fraction,economic_category,tolerance_used,source_destination_mae,source_destination_rmse,source_destination_correlation,diff_mean,diff_median,diff_p95,onset_jump_kw,end_jump_kw,onset_jump_relative,end_jump_relative,manifest_hash_used,valid_episode,warnings
D120_005_DAILY,D120_005,DAILY,1440,120,2009-11-28 17:53:00,2009-11-28 19:53:00,2009-11-27 17:53:00,2009-11-27 19:53:00,4,tarde,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.4042513077339485,0.8748159580291585,0.8748159580291585,30,False,4.718699999999999,2.682466666666667,2.0362333333333322,0.431524219241175,underreporting,0.04718699999999999,1.0607833333333334,1.41645648244719,0.07851490251514281,1.0181166666666668,1.0070000000000001,2.7531000000000008,-1.5999999999999996,1.3439999999999999,-0.6314127861089186,4.450331125827814,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_005_WEEKLY,D120_005,WEEKLY,10080,120,2009-11-28 17:53:00,2009-11-28 19:53:00,2009-11-21 17:53:00,2009-11-21 19:53:00,4,tarde,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.4042513077339485,0.4042513077339485,0.0,30,False,4.718699999999999,7.781033333333334,-3.062333333333335,-0.6489781790182328,overreporting,0.04718699999999999,1.5977666666666663,2.036060739107096,0.2649885566901793,-1.5311666666666668,-1.391,3.7087000000000003,0.726,-0.3420000000000001,0.2865035516969219,-0.17203219315895377,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_006_DAILY,D120_006,DAILY,1440,120,2009-06-26 15:42:00,2009-06-26 17:42:00,2009-06-25 15:42:00,2009-06-25 17:42:00,2,tarde,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.6919082159379547,0.6919082159379547,0.6578654247067118,30,False,1.3634,0.8018666666666666,0.5615333333333333,0.41186250061121704,underreporting,0.013634,0.3844,0.5738323216178515,0.5318863231611477,0.28076666666666666,0.09700000000000002,1.3916999999999997,-0.35600000000000004,0.016000000000000014,-0.536144578313253,0.010781671159029659,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_006_WEEKLY,D120_006,WEEKLY,10080,120,2009-06-26 15:42:00,2009-06-26 17:42:00,2009-06-19 15:42:00,2009-06-19 17:42:00,2,tarde,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.6919082159379547,0.7035378613589758,0.5072529367665463,30,False,1.3634,1.2874666666666665,0.07593333333333341,0.055694098088113105,underreporting,0.013634,0.27059999999999995,0.42473011038383734,0.7134077927536654,0.03796666666666666,0.06499999999999984,0.9401999999999999,-0.338,0.30200000000000005,-0.5090361445783133,0.2520868113522538,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_007_DAILY,D120_007,DAILY,1440,120,2009-10-04 00:31:00,2009-10-04 02:31:00,2009-10-03 00:31:00,2009-10-03 02:31:00,4,madrugada,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.633265326685086,0.7114378375130804,0.5164533799635882,30,False,0.8499000000000001,0.5790666666666666,0.2708333333333335,0.318664940973448,underreporting,0.01,0.21441666666666664,0.30437438569410974,-0.02292015363355355,0.13541666666666666,0.068,0.6683,-0.02799999999999997,-0.08200000000000002,-0.064516129032258,-0.25000000000000006,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_007_WEEKLY,D120_007,WEEKLY,10080,120,2009-10-04 00:31:00,2009-10-04 02:31:00,2009-09-27 00:31:00,2009-09-27 02:31:00,4,madrugada,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.633265326685086,0.6911693396504569,0.5495040724642111,30,False,0.8499000000000001,0.5252666666666668,0.32463333333333333,0.3819665058634349,underreporting,0.01,0.21465000000000004,0.28740755035315274,0.08205471630123043,0.1623166666666667,0.17099999999999999,0.6174,-0.3,-0.020000000000000018,-0.6912442396313364,-0.0751879699248121,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_008_DAILY,D120_008,DAILY,1440,120,2009-07-14 09:41:00,2009-07-14 11:41:00,2009-07-13 09:41:00,2009-07-13 11:41:00,3,mañana,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.698206170839144,0.8209151977536684,0.5433071177844425,30,False,0.9410333333333334,0.9141333333333334,0.026900000000000035,0.028585597392936878,underreporting,0.01,0.45258333333333334,0.8097520402361865,-0.1153811964254037,0.013450000000000023,0.0059999999999999915,2.4504,1.19,2.466,5.509259259259259,18.96923076923077,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_008_WEEKLY,D120_008,WEEKLY,10080,120,2009-07-14 09:41:00,2009-07-14 11:41:00,2009-07-07 09:41:00,2009-07-07 11:41:00,3,mañana,False,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.698206170839144,0.6284544732130427,0.06305310896205052,30,False,0.9410333333333334,1.562533333333333,-0.6214999999999997,-0.660444192554284,overreporting,0.01,0.6646166666666667,0.9056657403994772,-0.03418722769448692,-0.31074999999999997,-0.17,1.8788999999999996,-0.0040000000000000036,2.04,-0.018518518518518535,3.6690647482014387,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_009_DAILY,D120_009,DAILY,1440,120,2009-06-28 23:00:00,2009-06-29 01:00:00,2009-06-27 23:00:00,2009-06-28 01:00:00,2,noche,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.5314610408608424,0.5940377206384885,0.5685237477735919,30,False,1.1258333333333332,1.4860333333333335,-0.3602000000000003,-0.31994078460399733,overreporting,0.011258333333333332,0.49223333333333336,0.7587049053046471,0.16443693365035075,-0.1801,0.020000000000000018,1.7679999999999996,1.5859999999999999,0.12,2.1146666666666665,0.5084745762711864,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
D120_009_WEEKLY,D120_009,WEEKLY,10080,120,2009-06-28 23:00:00,2009-06-29 01:00:00,2009-06-21 23:00:00,2009-06-22 01:00:00,2,noche,True,FINAL_CAL_POOL_180,pretest,20260801,True,True,True,True,True,True,,3,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,none,,False,False,False,False,False,False,False,False,False,False,False,False,0.5314610408608424,0.7409569721571934,0.7409569721571934,30,False,1.1258333333333332,0.7202000000000001,0.4056333333333332,0.3602960769800147,underreporting,0.011258333333333332,0.2625166666666667,0.42931965557922763,0.04568533937834173,0.20281666666666667,0.07900000000000001,1.1069,0.14600000000000002,0.21599999999999997,0.19466666666666668,1.5428571428571425,5173d35931d318921622ccfd75843d17780c92bcc17a3f130b1c4f33bb627813,True,
