episode_id,paired_destination_id,shift_type,duration_minutes,onset_jump_kw,end_jump_kw,onset_jump_relative,end_jump_relative,detected_onset_zone_OR,detected_interior_OR,detected_end_zone_OR,detected_post_attack_OR,boundary_only_detection_OR,post_only_detection_OR,max_delta_score_H
D360_007_WEEKLY,D360_007,WEEKLY,360,-0.704,0.146,-0.4776119402985074,0.6517857142857142,False,False,False,False,False,False,0.7709253192703388
D360_008_DAILY,D360_008,DAILY,360,-0.784,0.116,-0.7140255009107468,0.5420560747663552,False,False,False,False,False,False,0.6676997758232194
D360_008_WEEKLY,D360_008,WEEKLY,360,-0.8760000000000001,0.12,-0.7978142076502732,0.5714285714285715,False,False,False,False,False,False,0.731935810533776
D360_009_DAILY,D360_009,DAILY,360,-0.926,-0.244,-0.71671826625387,-0.1342134213421342,False,False,False,False,False,False,0.7368688753843797
D360_009_WEEKLY,D360_009,WEEKLY,360,-1.05,1.1720000000000002,-0.8126934984520124,2.91542288557214,False,False,False,False,False,False,0.7951547424741962
D1440_000_DAILY,D1440_000,DAILY,1440,0.026,1.366,0.0534979423868313,2.8106995884773665,False,False,False,False,False,False,0.6824399250022256
D1440_000_WEEKLY,D1440_000,WEEKLY,1440,-0.13,1.41,-0.2674897119341564,3.1900452488687785,False,False,False,False,False,False,0.6845865398314411
D1440_001_DAILY,D1440_001,DAILY,1440,2.274,-0.102,5.830769230769231,-0.2615384615384616,False,False,False,False,False,False,0.8179317218142681
D1440_001_WEEKLY,D1440_001,WEEKLY,1440,-0.066,-1.114,-0.1692307692307692,-0.7945791726105563,False,False,False,False,False,False,0.6046202747234038
D1440_002_DAILY,D1440_002,DAILY,1440,2.648,1.0060000000000002,7.480225988700565,2.841807909604521,False,False,False,False,False,False,0.6441219918376049
D1440_002_WEEKLY,D1440_002,WEEKLY,1440,-0.072,1.144,-0.2033898305084746,5.296296296296297,False,False,True,False,True,False,0.9026324352749016
D1440_003_DAILY,D1440_003,DAILY,1440,0.7580000000000001,0.566,0.8896713615023476,0.664319248826291,False,False,False,False,False,False,0.8439951205342248
D1440_003_WEEKLY,D1440_003,WEEKLY,1440,1.04,0.016,1.2206572769953052,0.0114122681883024,False,False,False,False,False,False,0.6011872413783618
D1440_004_DAILY,D1440_004,DAILY,1440,-2.322,-0.8320000000000001,-0.9042056074766356,-0.32398753894081,False,False,False,False,False,False,0.7672380365408034
D1440_004_WEEKLY,D1440_004,WEEKLY,1440,-1.69,0.498,-0.6580996884735202,0.4022617124394184,False,False,False,False,False,False,0.7946114486834743
D1440_005_DAILY,D1440_005,DAILY,1440,0.0559999999999999,-0.016,0.1739130434782608,-0.0496894409937888,False,False,False,False,False,False,0.8037955302332095
D1440_005_WEEKLY,D1440_005,WEEKLY,1440,0.008,-0.022,0.0248447204968944,-0.0670731707317073,False,False,False,False,False,False,0.7468156177018169
D1440_006_DAILY,D1440_006,DAILY,1440,-1.282,-0.236,-0.7817073170731708,-0.1439024390243902,False,False,False,False,False,False,0.7463519239628393
D1440_006_WEEKLY,D1440_006,WEEKLY,1440,-0.3179999999999998,-1.626,-0.1939024390243901,-0.5366336633663367,False,False,False,False,False,False,0.7809284703519479
D1440_007_DAILY,D1440_007,DAILY,1440,-0.0579999999999999,0.114,-0.2636363636363636,0.5181818181818183,False,False,False,False,False,False,0.7691989981709162
D1440_007_WEEKLY,D1440_007,WEEKLY,1440,0.5660000000000001,0.0579999999999999,2.572727272727273,0.2101449275362318,False,False,False,False,False,False,0.7283888011158514
D1440_008_DAILY,D1440_008,DAILY,1440,-0.1059999999999999,-0.118,-0.358108108108108,-0.3986486486486486,False,False,False,False,False,False,0.5890922323819525
D1440_008_WEEKLY,D1440_008,WEEKLY,1440,-0.1599999999999999,-0.158,-0.5405405405405405,-0.4702380952380953,False,False,False,False,False,False,0.8310396873988869
D1440_009_DAILY,D1440_009,DAILY,1440,-1.058,-1.008,-0.4502127659574468,-0.4289361702127659,False,False,False,False,False,False,0.7483173894701648
D1440_009_WEEKLY,D1440_009,WEEKLY,1440,-2.03,1.098,-0.8638297872340426,4.500000000000001,False,False,False,False,False,False,0.8074736689607979
