episode_id,max_relative_kw_clean,max_relative_kw_ramp,max_ED_signed_clean,max_ED_signed_ramp,max_ED_positive_clean,max_ED_positive_ramp,max_delta_relative_kw,max_delta_ED_signed,max_delta_ED_positive,mean_delta_ED_signed,mean_delta_ED_positive,pct_ventanas_delta_ED_signed_positivo,pct_ventanas_delta_ED_positive_positivo,racha_max_delta_ED_signed_positivo,racha_max_delta_ED_positive_positivo,timestamp_maximo_ED,posicion_relativa_maximo_ED,n_ventanas_afectadas,hidden_energy_kwh,hidden_energy_pct,duration_min,rho_final,grupo_temporal,ramp_induced_detected,alto_impacto
ramp_lineal__0120_0.30_25,0.018663683906197548,0.01835683174431324,0.06392182821464422,0.06538117671519271,0.05264660968075779,0.05463846192400829,0.0006724279373884201,0.0021852511111710715,0.0020296821958519194,0.0012515719484562653,0.0009048614282652228,87.5,62.5,7,2,2009-01-18 00:23:00,0.8571428571428571,8,2.6353629166666668,38.2768760590656,120,0.3,C,False,True
ramp_lineal__0240_0.30_05,0.04397931322455406,0.04381004348397255,0.1052070250515485,0.10521392421999565,0.06617792976533805,0.06574346999012713,0.001255156472325325,0.005399939454572081,0.003301746203995629,0.0017661348963362723,0.0008011847054257358,70.0,70.0,5,5,2009-10-21 17:23:00,0.2222222222222222,10,3.3510348472222207,42.40027221284969,240,0.3,C,False,True
ramp_lineal__0240_0.30_12,0.01826208084821701,0.01954406313598156,0.0787345528929673,0.0787718074921863,0.061699983448951244,0.06173227562664003,0.0015385765582323074,0.00286525097826593,0.0026032368829134473,-0.0008711536702241174,-0.0010486479902052912,40.0,40.0,2,2,2009-01-28 14:23:00,0.0,10,5.157652986111112,36.044565948320376,240,0.3,D,False,True
ramp_lineal__0240_0.30_35,0.04550539702177048,0.04576852545142174,0.08986571541867189,0.09073367628666795,0.06845671036376257,0.06939807629573656,0.002349337562918663,0.007490646288897819,0.005764220898333734,0.003953510812879429,0.0027165490213677005,100.0,90.0,10,8,2009-09-09 18:23:00,0.0,10,2.9002615833333336,46.57358900105985,240,0.3,C,False,True
ramp_lineal__0240_0.30_40,0.016170265153050423,0.01658819243311882,0.07432882015069585,0.06900861361965319,0.05984734678705573,0.054861480499027185,0.001177511177957058,0.0008267533818120849,0.0007020959149954681,-0.0030593319454735564,-0.0026294332978673935,10.0,20.0,1,2,2009-01-21 14:23:00,1.0,10,3.1969856527777774,45.64579238392577,240,0.3,C,False,True
ramp_lineal__0360_0.30_00,0.014504577964544296,0.014516877941787243,0.06445911876238847,0.05578802878802512,0.05025365151624634,0.041638633075757464,0.0033633550629019737,0.0003443171450791885,0.00033081313500486417,-0.0033200658983528505,-0.0035263087371575617,8.333333333333332,16.666666666666664,1,1,2008-12-17 13:23:00,0.45454545454545453,12,3.633559481481481,32.26456016209548,360,0.3,C,False,True
ramp_lineal__0360_0.30_02,0.018044758588075638,0.01971067115664482,0.058990807053161246,0.05848697714183066,0.042871983495307506,0.04233498778010726,0.0024843011051416397,0.0018535664507419412,0.002689433382054145,-0.0009572121279874732,-0.0011093987038477966,25.0,25.0,1,2,2009-03-05 16:23:00,0.0,12,3.104948194444444,43.53076918882963,360,0.3,C,False,True
ramp_lineal__0360_0.30_08,0.021771222352981567,0.02037154883146286,0.07792624034483105,0.07269426507944736,0.06291986933856406,0.05711770385899096,0.002383447252213955,0.0008654616571694973,-0.00011519476233447928,-0.006922877468534793,-0.005562815938587837,8.333333333333332,0.0,1,0,2009-04-30 14:23:00,1.0,12,2.559431972222221,48.93002929231133,360,0.3,C,False,True
ramp_lineal__0360_0.30_11,0.016579728573560715,0.016598260030150414,0.0644138275962343,0.05942694319023093,0.05244020223910376,0.04618003045697169,0.0016619102098047733,0.0007823190453462754,0.0010759893440495487,-0.0026329432272037194,-0.002527180532470688,50.0,41.66666666666667,6,5,2009-02-21 03:23:00,1.0,12,5.545670925925924,36.76826041592231,360,0.3,C,False,True
ramp_lineal__0360_0.30_17,0.04642851650714874,0.04669194668531418,0.08021024908224351,0.08111886509853389,0.0668593284889202,0.0679071111881531,0.002065742388367653,0.0035866202116802137,0.003913080137895455,0.0003149864073324284,0.00027329442302452626,58.333333333333336,58.333333333333336,3,6,2009-09-27 18:23:00,0.09090909090909091,12,4.327525287037036,41.72274936644495,360,0.3,C,False,True
ramp_lineal__0360_0.30_24,0.021008562296628952,0.02102496102452278,0.0858713710460881,0.0664886137730269,0.06921270098118691,0.04400345542123273,0.005923897959291935,0.014310769541356703,0.019355245527147617,-0.002942215961494913,-0.004596962039351953,41.66666666666667,50.0,3,3,2009-03-16 13:23:00,0.5454545454545454,12,2.88833837962963,32.289374667469914,360,0.3,C,False,True
ramp_lineal__0360_0.30_33,0.03460469841957092,0.04162364453077316,0.05809189425464851,0.07745889579974466,0.04872260067310692,0.06286156595708321,0.00701894611120224,0.026708447198858253,0.017149857863147114,0.00880050061796995,0.0058123039411788514,83.33333333333334,83.33333333333334,10,10,2009-08-09 20:23:00,0.6363636363636364,12,3.05371675,52.97698017082352,360,0.3,D,False,True
ramp_lineal__0360_0.30_34,0.02056891843676567,0.02047404833137989,0.07209129112563076,0.05982453462123158,0.05547035282349532,0.04924804183930484,0.0028839735314249992,-0.0004960555059040465,-0.0004145888414706228,-0.006758771860015357,-0.005184736880481088,0.0,0.0,0,0,2009-05-26 14:23:00,0.8181818181818182,12,2.933379944444443,41.79387792740485,360,0.3,C,False,True
ramp_lineal__0360_0.30_40,0.034445490688085556,0.03757859393954277,0.06816308771587619,0.06654275486637572,0.048295086533547575,0.05598706135875024,0.004478104412555695,0.0062058476684755184,0.011678856035773552,0.0012961716823292602,0.004057048735994602,58.333333333333336,100.0,5,12,2009-08-25 04:23:00,1.0,12,3.428780638888888,33.52871625292271,360,0.3,D,False,True
ramp_lineal__0360_0.30_41,0.015756217762827873,0.016303570941090584,0.07468188857810074,0.06862045118794241,0.06087173262063983,0.056829107397137466,0.0017763953655958176,-4.679283387275246e-05,-4.311679073737765e-05,-0.0038254275927209883,-0.0029718889683320246,0.0,0.0,0,0,2009-05-12 12:23:00,0.9090909090909091,12,3.446211675925925,47.746012301891504,360,0.3,C,False,True
ramp_lineal__0360_0.30_45,0.020326584577560425,0.020678164437413216,0.0787345528929673,0.06891414093620937,0.061699983448951244,0.04808137027550851,0.0031975777819752693,0.0003489396679173702,0.0003064560535220636,-0.005134314220825321,-0.006447268022218501,16.666666666666664,8.333333333333332,1,1,2009-01-28 14:23:00,0.8181818181818182,12,3.616430157407408,44.41624828964655,360,0.3,C,False,True
ramp_lineal__0360_0.30_49,0.02092267945408821,0.02082117833197117,0.0721314007561944,0.0631576414512089,0.05649809677264181,0.046496295738126324,0.0033062826842069626,0.004215502087470457,0.006893343239937167,-0.0030766966365341777,-0.003614753701268699,25.0,25.0,2,2,2009-03-27 13:23:00,0.8181818181818182,12,3.603570638888889,45.91608195827759,360,0.3,C,False,True
ramp_lineal__0360_0.50_06,0.021182607859373093,0.021197393536567688,0.058485217341062164,0.05437567569342552,0.047398677477880215,0.043912090862853304,0.0010962681844830513,0.0007140243118876968,0.0001265520070766052,-0.0015660791246616646,-0.001533430285824378,41.66666666666667,33.33333333333333,5,2,2009-02-08 03:23:00,0.9090909090909091,12,5.006850740740742,25.87912073186327,360,0.5,C,False,True
ramp_lineal__0360_0.50_09,0.017526060342788696,0.018596749752759933,0.070394741400687,0.07034690749305893,0.05515739835395632,0.055277147838716116,0.0014155572280287743,2.3837320013944674e-05,0.00011974948475979713,-0.002132640445848235,-0.0017948576229972512,8.333333333333332,16.666666666666664,1,2,2009-01-30 18:23:00,0.09090909090909091,12,2.710674027777779,22.171630868250205,360,0.5,D,False,True
ramp_lineal__0360_0.50_20,0.04825294390320778,0.046733368188142776,0.09136729531165699,0.08842347106070758,0.06579398076725819,0.06279613263732446,0.0009480603039264679,0.007502491663152332,0.006631697540735903,0.0005245645662596936,0.00010693815520151093,50.0,58.333333333333336,4,6,2009-03-22 17:23:00,0.7272727272727273,12,2.787616250000001,32.179531208514675,360,0.5,D,False,True
ramp_lineal__0360_0.50_21,0.014504577964544296,0.014309586025774479,0.06445911876238847,0.06050888713376472,0.05025365151624634,0.04602193398160983,0.0009794947691261768,0.000589055753715817,5.1701086128105866e-05,-0.002526685196604244,-0.001467271105753002,16.666666666666664,16.666666666666664,1,1,2008-12-17 14:23:00,0.8181818181818182,12,2.8059414814814803,32.26443917211678,360,0.5,C,False,True
ramp_lineal__0720_0.30_00,0.023295879364013672,0.03607429936528206,0.043788177655418904,0.056778006365316463,0.038125256986131485,0.054622278037901255,0.012778420001268387,0.030898528015930675,0.03480967048361988,0.004306394769587443,0.005024412574690517,61.111111111111114,61.111111111111114,6,6,2009-01-19 08:23:00,0.7647058823529411,18,3.8191387175925904,17.3596688385456,720,0.3,D,False,True
ramp_lineal__0720_0.30_06,0.036720700562000275,0.03675942122936249,0.06535717522959406,0.06523482084355368,0.040990527153868604,0.04102849870646361,0.009239931590855122,0.0334575279740193,0.02728253163118266,0.0033448708331441433,-0.0004549832538331511,50.0,50.0,6,5,2009-05-10 20:23:00,0.0,18,3.4749177685185195,25.621135677398453,720,0.3,C,False,True
ramp_lineal__0720_0.30_10,0.015898866578936577,0.03378964960575104,0.054788437662868256,0.06674609967530405,0.04180442988829614,0.0650260828815541,0.01789078302681446,0.03661597972827679,0.04715449104250702,0.0049652272033147305,0.007175700812636892,38.88888888888889,38.88888888888889,6,6,2009-02-10 04:23:00,0.7058823529411765,18,3.234835203703704,28.814537195393925,720,0.3,D,False,True
ramp_lineal__0720_0.30_11,0.022999100387096405,0.0367581881582737,0.034252824354413715,0.05607507326725892,0.023221509877500355,0.05272436370756861,0.01673406921327114,0.041866850902986835,0.04069485734462357,0.013223200021499968,0.011822350876040296,100.0,94.44444444444444,18,15,2009-05-14 05:23:00,0.6470588235294118,18,2.999343699074073,30.04952944570605,720,0.3,D,False,True
