umbral,fa_agregada,peor_fa_bloque,mediana_fa_bloques,std_fa_bloques,active_fraction_agregada,peor_active_fraction_bloque,duracion_max_horas,peor_duracion_bloque_horas,max_7dias,peor_max_7dias_bloque,n_bloques_sin_eventos,n_bloques_fuera_banda
0.858134427615605,0.25,0.5666666666666667,0.18333333333333335,0.16859989894992797,0.002662037037037037,0.005902777777777778,0.5,0.5,0.011904761904761904,0.011904761904761904,0,2
0.8588785471695486,0.24444444444444444,0.5333333333333333,0.18333333333333335,0.15830896498638897,0.0026041666666666665,0.005555555555555556,0.5,0.5,0.011904761904761904,0.011904761904761904,0,2
0.8589677706612343,0.2388888888888889,0.5333333333333333,0.16666666666666666,0.1603429965517979,0.0025462962962962965,0.005555555555555556,0.5,0.5,0.011904761904761904,0.011904761904761904,0,2
0.8589765534904353,0.23333333333333334,0.5333333333333333,0.16666666666666666,0.1563471919941143,0.002488425925925926,0.005555555555555556,0.5,0.5,0.011904761904761904,0.011904761904761904,0,2
0.85918402234031,0.22777777777777777,0.5333333333333333,0.15,0.15918387535438228,0.0024305555555555556,0.005555555555555556,0.5,0.5,0.011904761904761904,0.011904761904761904,0,2
0.8598958834047515,0.2222222222222222,0.5333333333333333,0.13333333333333333,0.1617802197617893,0.002372685185185185,0.005555555555555556,0.5,0.5,0.011904761904761904,0.011904761904761904,0,2
0.8604381803406771,0.21666666666666667,0.5,0.13333333333333333,0.15122952876462445,0.0023148148148148147,0.005208333333333333,0.5,0.5,0.010416666666666666,0.010416666666666666,0,2
0.861629566066483,0.2111111111111111,0.5,0.13333333333333333,0.15713484026367722,0.0022569444444444442,0.005208333333333333,0.5,0.5,0.010416666666666666,0.010416666666666666,0,2
0.8621545251287999,0.20555555555555555,0.4666666666666667,0.13333333333333333,0.14709113660970807,0.002199074074074074,0.004861111111111111,0.5,0.5,0.010416666666666666,0.010416666666666666,0,2
0.8621738581612542,0.20555555555555555,0.4666666666666667,0.13333333333333333,0.14709113660970807,0.0021412037037037038,0.004861111111111111,0.25,0.25,0.010416666666666666,0.010416666666666666,0,2
0.8623475982322433,0.2,0.4666666666666667,0.13333333333333333,0.14272480642961255,0.0020833333333333333,0.004861111111111111,0.25,0.25,0.010416666666666666,0.010416666666666666,0,2
0.8624529903037135,0.19444444444444445,0.4666666666666667,0.13333333333333333,0.13933262448871614,0.002025462962962963,0.004861111111111111,0.25,0.25,0.010416666666666666,0.010416666666666666,0,2
0.8635237460593035,0.18888888888888888,0.43333333333333335,0.13333333333333333,0.12862041003100252,0.0019675925925925924,0.0045138888888888885,0.25,0.25,0.008928571428571428,0.008928571428571428,0,2
0.8637629397487727,0.18333333333333332,0.4,0.13333333333333333,0.11824331474329314,0.0019097222222222222,0.004166666666666667,0.25,0.25,0.008928571428571428,0.008928571428571428,0,2
0.8640277531620297,0.17777777777777778,0.4,0.13333333333333333,0.12120791238484128,0.001851851851851852,0.004166666666666667,0.25,0.25,0.008928571428571428,0.008928571428571428,0,2
0.8642885015619305,0.17222222222222222,0.36666666666666664,0.13333333333333333,0.11124991330278214,0.0017939814814814815,0.0038194444444444443,0.25,0.25,0.008928571428571428,0.008928571428571428,0,2
0.8650934692918575,0.16666666666666666,0.36666666666666664,0.13333333333333333,0.11547005383792514,0.001736111111111111,0.0038194444444444443,0.25,0.25,0.008928571428571428,0.008928571428571428,0,2
0.8652324979648462,0.16111111111111112,0.3333333333333333,0.13333333333333333,0.1061387398585711,0.0016782407407407408,0.003472222222222222,0.25,0.25,0.008928571428571428,0.008928571428571428,0,2
0.8656423078430269,0.15555555555555556,0.3,0.13333333333333333,0.09749960430435692,0.0016203703703703703,0.003125,0.25,0.25,0.008928571428571428,0.008928571428571428,0,2
0.8659969838824613,0.15,0.3,0.13333333333333333,0.1031898645611484,0.0015625,0.003125,0.25,0.25,0.008928571428571428,0.008928571428571428,0,2
0.866282539654903,0.14444444444444443,0.3,0.11666666666666667,0.1048220125784067,0.0015046296296296296,0.003125,0.25,0.25,0.008928571428571428,0.008928571428571428,0,2
0.8687186846543001,0.1388888888888889,0.26666666666666666,0.11666666666666667,0.09702360664762767,0.0014467592592592592,0.002777777777777778,0.25,0.25,0.008928571428571428,0.008928571428571428,0,2
0.8688718479816848,0.13333333333333333,0.26666666666666666,0.11666666666666667,0.09026709338484401,0.001388888888888889,0.002777777777777778,0.25,0.25,0.008928571428571428,0.008928571428571428,0,2
0.8705157605389807,0.12777777777777777,0.26666666666666666,0.1,0.0911178859269818,0.0013310185185185185,0.002777777777777778,0.25,0.25,0.008928571428571428,0.008928571428571428,0,2
0.8712673203055619,0.12222222222222222,0.26666666666666666,0.1,0.08534606386520675,0.0012731481481481483,0.002777777777777778,0.25,0.25,0.008928571428571428,0.008928571428571428,0,1
0.8747621625449549,0.11666666666666667,0.26666666666666666,0.1,0.09179284245476838,0.0012152777777777778,0.002777777777777778,0.25,0.25,0.008928571428571428,0.008928571428571428,1,1
0.8755278296184479,0.1111111111111111,0.26666666666666666,0.1,0.087488976377909,0.0011574074074074073,0.002777777777777778,0.25,0.25,0.008928571428571428,0.008928571428571428,1,1
0.8757650581290026,0.10555555555555556,0.23333333333333334,0.1,0.07797593804232333,0.001099537037037037,0.0024305555555555556,0.25,0.25,0.00744047619047619,0.00744047619047619,1,1
0.876643878065422,0.1,0.23333333333333334,0.08333333333333334,0.07934920476158723,0.0010416666666666667,0.0024305555555555556,0.25,0.25,0.00744047619047619,0.00744047619047619,1,1
0.876729525340188,0.09444444444444444,0.2,0.08333333333333334,0.07049209744694178,0.0009837962962962962,0.0020833333333333333,0.25,0.25,0.00744047619047619,0.00744047619047619,1,0
0.8769163645510412,0.08888888888888889,0.2,0.06666666666666667,0.07370277311900889,0.000925925925925926,0.0020833333333333333,0.25,0.25,0.00744047619047619,0.00744047619047619,1,0
